modelo_equipamento,num_série_equipamento,Quant,des_nome_equipamento,des_categoria,num_potencia,des_potencia,Marca,Id_sala,Setor,num_andar,des_nome_generico_equipamento,idade_equipamento,observ,responsável pela contagem,,,,,,,,,,,,,,,,,
,,1,TORRADEIRA ULTRA,Eletrodoméstico,750,W,ULTRA,COPA SECOM,SECOM,8,Torradeira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,2,CAFETEIRA OSTER,Eletrodoméstico,750,W,OSTER,COPA SECOM,SECOM,8,Cafeteira,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
bch02pi,,1,CHALEIRA ELÉTRICA bch02pi,Eletrodoméstico,1150,W,BRITÂNIA,COPA SECOM,SECOM,8,Chaleira Elétrica,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,FRIGOBAR CONSUL 120L,Eletrodoméstico,80,W,CONSUL,COPA SECOM,SECOM,8,Frigobar,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,2,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,COPA SECOM,SECOM,8,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,5,MONITOR DATEN DM270,Informática,27,W,DATEN,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
LA2205wg ,,2,"MONITOR LCD HP COMPAQ LA2205wg 22 POLEGADAS
",Informática,25,W,HP,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
v206hz,,1,MONITOR HP v206hz,Informática,30,W,HP,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
dc5a-s,,1,CPU DATEN DC5A-S,Informática,65,W,DATEN,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
 optiplex 7050,,1,CPU DELL optiplex 7050,Informática,180,W,DELL,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
qz710av,,1,CPU HP COMPAQ Pro 6305 SFF,Informática,240,W,HP,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
d11s001,,1,CPU DELL OptiPlex 5040 SFF,Informática,180,W,DELL,ASSESSORIA DE IMPRENSA,SECOM,8,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO CONSUL AIRMASTER 10000 BTUS,Climatização,10000,BTU,CONSUL,ASSESSORIA DE IMPRENSA,SECOM,8,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO MIDEA 9000,Climatização,9000,BTU,MIDEA,ASSESSORIA DE IMPRENSA,SECOM,8,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,8,LÂMPADA TUBULAR FLUORESCENTE,Iluminação,30,W,GENÉRICO,ASSESSORIA DE IMPRENSA,SECOM,8,Lâmpadas,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,IMPRESSORA HP COLOR LASER JET MANAGED MFP E786,Informática,800,W,HP,ASSESSORIA DE IMPRENSA,SECOM,8,Impressora,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
7433ip,,1,TELEFONE AASTRA 7433 IP,Outros,2.9,W,AASTRA,RECEPÇÃO,PROPG,7,Ramal,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
HP 100B,,1,PC ALL-IN-ONE HP 100B,Informática,65,W,HP,RECEPÇÃO,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
912VWA,,1,MONITOR AOC 912VWA 19 POLEGADAS LCD,Informática,36,W,AOC,RECEPÇÃO,PROPG,7,Computador,18 anos,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
HP Compaq 8200,,1,CPU HP COMPAQ 8200 ELITE SFF,Informática,240,W,HP,RECEPÇÃO,PROPG,7,Computador,,LIGADO 24H - COMPUTADOR DE PONTO ,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,TV LG 65 POLEGADAS,Informática,120,W,LG,SALA DE REUNIÕES,PROPG,7,Televisão,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
,,1,AR CONDICIONADO CARRIER,Climatização,7000,BTU,CARRIER,SALA DE REUNIÕES,PROPG,7,Ar Condicionado,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
OPTIPLEX 5050,,2,CPU DELL OPTIPLEX 5050 SFF,Informática,180,W,DELL,SECRETARIA,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
3060,,4,CPU DELL OPTIPLEX 3060 MICRO,Informática,35,W,DELL,SECRETARIA,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
E2242,,1,MONITOR LG FLATRON E2242,Informática,24,W,LG,SECRETARIA,PROPG,7,Computador,13 anos,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
P2419H,,2,MONITOR DELL P2419H,Informática,13.9,W,DELL,SECRETARIA,PROPG,7,Computador,,,CONTAGEM FERNANDA,,,,,,,,,,,,,,,,,
